Tf	In_Degree	Out_Degree	Total_Connections
ALX4	224	180	404
AR	142	272	414
ARID3A	119	199	318
ARNT2	212	217	429
ARNTL	294	105	399
ATF3	196	141	337
ATF7	266	98	364
BACH1	84	143	227
BACH2	320	134	454
BARX2	80	106	186
BBX	194	187	381
BCL6	314	297	611
BCLAF1	235	303	538
BHLHE40	333	169	502
BHLHE41	292	107	399
CAMTA1	301	0	301
CEBPB	98	154	252
CEBPD	300	91	391
CEBPG	145	74	219
CREB1	205	137	342
CREB3	156	138	294
CREB5	271	95	366
DBP	330	198	528
DEAF1	303	205	508
E2F1	189	205	394
E2F3	201	289	490
E2F6	125	270	395
E2F7	169	136	305
E2F8	121	144	265
E4F1	60	195	255
EBF1	236	280	516
EGR1	209	308	517
EGR3	149	211	360
EHF	331	281	612
ELF1	82	260	342
ELF2	188	133	321
ELK3	273	133	406
ERF	256	168	424
ESRRA	321	274	595
ESRRG	103	243	346
ETS1	100	294	394
ETS2	303	150	453
ETV5	135	112	247
ETV6	298	232	530
FIZ1	244	270	514
FOS	336	181	517
FOSL1	269	140	409
FOSL2	208	165	373
FOXC1	278	287	565
FOXH1	188	182	370
FOXJ1	333	234	567
FOXJ2	176	267	443
FOXK1	270	269	539
FOXN2	303	190	493
FOXO1	101	290	391
FOXO3	303	277	580
FOXP1	313	270	583
GBX2	281	162	443
GLI2	341	238	579
GLI3	225	239	464
GLIS2	293	271	564
GLIS3	342	170	512
GMEB2	128	108	236
GZF1	239	60	299
HEY1	321	113	434
HEY2	292	96	388
HIC2	278	231	509
HINFP	220	229	449
HKR1	265	276	541
HLF	179	133	312
HMBOX1	179	152	331
HOMEZ	136	158	294
HSF1	254	273	527
HSF2	230	177	407
ID1	268	227	495
IRF1	228	270	498
IRF2	317	187	504
IRF3	269	281	550
IRF7	200	247	447
IRF8	321	180	501
IRX2	294	174	468
IRX3	331	172	503
IRX5	232	172	404
JDP2	229	192	421
JUN	186	201	387
JUNB	299	162	461
JUND	248	264	512
KLF12	267	194	461
KLF13	310	145	455
KLF15	329	259	588
KLF16	295	264	559
KLF3	165	202	367
KLF4	291	277	568
KLF7	327	282	609
LMX1A	269	177	446
LMX1B	287	193	480
MAF	233	267	500
MAFF	325	265	590
MAFG	138	195	333
MAFK	178	278	456
MAX	295	298	593
MECOM	306	140	446
MEF2A	206	256	462
MEF2C	258	241	499
MEF2D	298	198	496
MEIS1	333	219	552
MEIS3	50	203	253
MGA	180	212	392
MLX	304	99	403
MNT	323	122	445
MSX1	295	187	482
MSX2	135	192	327
MXI1	312	174	486
MYBL2	115	125	240
MYC	180	180	360
MYCN	294	163	457
MZF1	110	283	393
NFATC1	332	233	565
NFATC2	271	169	440
NFE2L2	208	179	387
NFIA	339	153	492
NFIB	340	164	504
NFIC	316	0	316
NFIL3	275	137	412
NFIX	334	165	499
NFKB2	166	215	381
NFYA	85	137	222
NR1D1	314	244	558
NR2F1	274	270	544
NR2F2	226	257	483
NR2F6	43	172	215
NR3C1	85	214	299
NR3C2	202	103	305
NR4A2	193	224	417
NRL	87	141	228
OLIG2	56	80	136
PAX3	321	89	410
PAX6	301	198	499
PBX1	330	185	515
PBX3	273	269	542
PEG3	32	291	323
PKNOX1	155	174	329
PKNOX2	338	209	547
POU3F2	312	249	561
POU3F3	332	250	582
POU3F4	294	228	522
PPARA	317	126	443
PPARG	101	149	250
PROX1	141	90	231
PRRX1	155	184	339
RARA	269	277	546
RARB	286	174	460
RELA	189	314	503
RFX2	341	227	568
RFX3	253	238	491
RFX4	342	219	561
RFX5	41	271	312
RORA	329	210	539
RREB1	273	292	565
RUNX1	313	189	502
RUNX2	287	245	532
RXRA	327	260	587
RXRB	196	201	397
SALL2	220	270	490
SATB1	99	178	277
SIX4	95	144	239
SMAD1	241	282	523
SMAD2	248	0	248
SMAD3	329	292	621
SMAD4	157	199	356
SOX1	328	252	580
SOX10	201	239	440
SOX11	276	276	552
SOX12	203	242	445
SOX13	310	243	553
SOX15	121	274	395
SOX2	340	283	623
SOX4	235	269	504
SOX5	321	246	567
SOX6	327	260	587
SOX8	81	256	337
SOX9	341	292	633
SP1	207	337	544
SP2	298	320	618
SP3	267	303	570
SPI1	239	294	533
SREBF1	326	191	517
SREBF2	42	196	238
SRF	319	330	649
STAT1	97	319	416
STAT3	281	339	620
STAT5A	195	283	478
STAT5B	195	140	335
STAT6	327	275	602
TCF12	323	221	544
TCF4	332	158	490
TCF7	299	245	544
TCF7L1	195	168	363
TCF7L2	339	213	552
TEAD1	334	232	566
TEF	283	258	541
TFAP4	260	142	402
TFE3	117	114	231
TFEB	263	126	389
TGIF1	266	198	464
THRA	321	110	431
THRB	54	208	262
TP53	241	119	360
YY1	266	330	596
ZBTB20	339	166	505
ZBTB33	79	95	174
ZBTB34	97	116	213
ZBTB38	312	183	495
ZBTB46	228	192	420
ZBTB7A	201	129	330
ZBTB7B	264	226	490
ZBTB7C	301	236	537
ZEB1	244	211	455
ZFHX2	278	164	442
ZFP1	223	261	484
ZFP14	192	250	442
ZFP3	168	303	471
ZFP41	173	158	331
ZFPM1	211	150	361
ZIC1	329	275	604
ZIC2	287	260	547
ZIC3	322	289	611
ZIC4	329	213	542
ZIC5	304	110	414
ZIK1	116	187	303
ZKSCAN1	99	193	292
ZNF114	97	115	212
ZNF132	187	300	487
ZNF134	127	247	374
ZNF135	258	256	514
ZNF136	179	249	428
ZNF174	106	159	265
ZNF184	282	275	557
ZNF19	146	258	404
ZNF195	145	278	423
ZNF2	174	228	402
ZNF211	127	226	353
ZNF213	304	175	479
ZNF22	323	209	532
ZNF226	110	271	381
ZNF227	110	296	406
ZNF23	146	311	457
ZNF232	168	151	319
ZNF236	155	313	468
ZNF251	207	210	417
ZNF254	121	276	397
ZNF26	115	156	271
ZNF275	32	194	226
ZNF287	175	238	413
ZNF311	172	194	366
ZNF320	119	237	356
ZNF324	75	235	310
ZNF329	130	235	365
ZNF334	308	190	498
ZNF34	47	144	191
ZNF341	189	247	436
ZNF343	121	238	359
ZNF35	126	265	391
ZNF358	224	213	437
ZNF383	154	281	435
ZNF394	150	258	408
ZNF397	86	134	220
ZNF408	298	227	525
ZNF41	113	255	368
ZNF43	69	288	357
ZNF430	147	287	434
ZNF433	139	236	375
ZNF439	115	230	345
ZNF440	115	216	331
ZNF445	150	248	398
ZNF468	119	269	388
ZNF497	240	219	459
ZNF501	126	205	331
ZNF502	126	273	399
ZNF513	228	292	520
ZNF514	174	137	311
ZNF516	317	144	461
ZNF517	47	269	316
ZNF521	293	288	581
ZNF524	244	242	486
ZNF526	256	269	525
ZNF530	116	250	366
ZNF536	268	237	505
ZNF549	116	244	360
ZNF551	127	207	334
ZNF552	234	239	473
ZNF557	109	267	376
ZNF558	145	189	334
ZNF559	107	214	321
ZNF568	135	255	390
ZNF57	203	265	468
ZNF573	164	248	412
ZNF574	175	256	431
ZNF579	184	284	468
ZNF580	222	238	460
ZNF581	222	226	448
ZNF584	187	169	356
ZNF585A	141	260	401
ZNF586	234	239	473
ZNF587	234	232	466
ZNF605	156	273	429
ZNF606	207	168	375
ZNF613	165	226	391
ZNF619	153	190	343
ZNF623	77	259	336
ZNF624	91	229	320
ZNF625	179	168	347
ZNF626	180	236	416
ZNF627	72	205	277
ZNF629	237	235	472
ZNF649	165	98	263
ZNF662	74	167	241
ZNF664	156	125	281
ZNF665	112	236	348
ZNF669	97	266	363
ZNF670	97	239	336
ZNF672	225	268	493
ZNF678	127	277	404
