node,expression,type
AEBP2,5.42966478969902,TF
AHR,52.8818880673498,TF
ASCL2,12.2708586510271,TF
ATF3,48.1726511148736,TF
ATF6,64.4040738930926,TF
BACH2,63.4087834041566,TF
BARHL2,94.762294809334,TF
BATF3,55.3639031480998,TF
BBX,35.8694717753679,TF
BCL6,22.2883839858696,TF
BHLHE40,95.0438370928168,TF
BHLHE41,3.53057479951531,TF
CAMTA1,46.1403947323561,TF
CEBPB,26.266624382697,TF
CREB3,43.4349604649469,TF
CREB3L1,69.8359940433875,TF
CREB3L2,66.5107354521751,TF
CREB5,84.0540945995599,TF
DBP,0.256183207966387,TF
DEAF1,62.5551565783098,TF
E2F1,27.2802840685472,TF
E2F2,66.8658284237608,TF
E2F3,83.7404489982873,TF
E2F6,32.5649889418855,TF
EGR1,14.8971244692802,TF
EGR3,59.2022292548791,TF
EGR4,61.7718644440174,TF
EHF,17.1945478534326,TF
ELF2,58.5317777236924,TF
ELF4,46.7719855252653,TF
EOMES,76.4297833666205,TF
ERF,64.5327273989096,TF
ESRRA,25.4535752814263,TF
ESRRG,1.11480704508722,TF
ETS1,16.3499238435179,TF
ETV1,94.723518518731,TF
ETV5,56.319663580507,TF
ETV6,66.7615483514965,TF
ETV7,26.7889247275889,TF
FIZ1,58.6479127872735,TF
FOS,74.1334006888792,TF
FOSL1,36.2313100136817,TF
FOSL2,27.3628275608644,TF
FOXB1,53.7174428114668,TF
FOXC1,86.4666624227539,TF
FOXD4L2,55.235566967167,TF
FOXD4L5,47.5538867292926,TF
FOXH1,79.126028274186,TF
FOXJ1,90.3960721567273,TF
FOXJ2,30.9123891871423,TF
FOXK1,54.9619572004303,TF
FOXL1,22.5890489527956,TF
FOXL2,83.8606234407052,TF
FOXN2,98.5440757125616,TF
FOXN4,85.5251802830026,TF
FOXO3,5.6007094681263,TF
FOXP1,18.0611222051084,TF
FOXR1,21.6148470761254,TF
GATA1,34.1436058748513,TF
GBX2,87.4565618345514,TF
GFI1,22.7413024287671,TF
GLI1,10.7498269760981,TF
GLIS2,8.05973142851144,TF
GLIS3,25.4917629994452,TF
GSC2,13.7385698733851,TF
GZF1,85.6957783689722,TF
HES7,0.30997097492218,TF
HEY1,4.70669129863381,TF
HEY2,4.53103031031787,TF
HIC2,63.0128456046805,TF
HKR1,34.8468483425677,TF
HMBOX1,1.20162747334689,TF
HNF4G,31.5385465975851,TF
HSF1,71.9800378428772,TF
ID1,91.5549699449912,TF
IRF2,97.6653011282906,TF
IRX2,57.6114003313705,TF
IRX3,89.2958919052035,TF
IRX4,73.3154025394469,TF
IRX5,26.186386635527,TF
ISL2,79.6877449145541,TF
ISX,82.9425481380895,TF
JUN,91.2213441682979,TF
JUNB,82.7074376167729,TF
JUND,91.7459683958441,TF
KLF12,84.4684906071052,TF
KLF13,44.3747521610931,TF
KLF15,52.2296900162473,TF
KLF16,77.7301699155942,TF
KLF3,15.9583828644827,TF
KLF4,41.6750035714358,TF
KLF5,79.7382415737957,TF
KLF7,88.6756890453398,TF
MAF,92.7612689323723,TF
MAFF,3.16006883513182,TF
MAFK,5.57536534033716,TF
MEF2D,46.0690406151116,TF
MEIS1,69.7752331383526,TF
MEOX2,77.3442920064554,TF
MGA,58.7578808655962,TF
MLX,59.2137399595231,TF
MNT,85.9932468505576,TF
MXI1,51.14554699976,TF
MYBL2,43.2356067700312,TF
MYC,89.8703310173005,TF
MYCN,66.2174718687311,TF
NEUROD2,79.1645605117083,TF
NFATC1,87.2527917381376,TF
NFIA,39.6116763586178,TF
NFIB,91.4342323085293,TF
NFIC,87.111999746412,TF
NFIL3,43.2281499262899,TF
NFIX,84.1389371082187,TF
NFKB2,74.8426856007427,TF
NHLH1,10.6177593581378,TF
NKX2-2,53.1061460031196,TF
NR1D1,75.4504606127739,TF
NR2F1,80.5793866282329,TF
NR2F2,67.0763910748065,TF
NR2F6,15.0482564466074,TF
NR4A2,59.6797867678106,TF
NRL,17.4125298159197,TF
OLIG1,2.92910321149975,TF
OLIG2,46.3087773183361,TF
OSR1,75.9476922219619,TF
PAX3,13.6683678021654,TF
PAX6,52.4084995035082,TF
PBX1,92.0048852916807,TF
PBX3,13.7315429514274,TF
PKNOX2,14.2311684554443,TF
POU2F2,71.2343735620379,TF
POU3F2,38.0527748260647,TF
POU3F3,22.9272660799325,TF
PROX1,29.6769708162174,TF
PRRX1,3.50694733206183,TF
RARA,90.0144718121737,TF
RELA,32.586876116693,TF
RFX1,26.7981707816944,TF
RFX2,74.4114845991135,TF
RFX4,31.2944246921688,TF
RORA,22.371690440923,TF
RREB1,77.8849952621385,TF
RUNX1,25.2194307278842,TF
RUNX3,79.7491217963398,TF
RXRB,80.520683946088,TF
SALL1,76.7760135000572,TF
SALL2,80.4690549615771,TF
SATB1,89.7755720885471,TF
SCRT2,74.7645805589855,TF
SHOX,11.8102657608688,TF
SIX1,78.472523088567,TF
SOX1,2.14291354641318,TF
SOX10,49.620289192535,TF
SOX11,16.3089423906058,TF
SOX12,93.4441970428452,TF
SOX13,33.2187380408868,TF
SOX2,43.6646495014429,TF
SOX21,8.76176068559289,TF
SOX4,73.7580289831385,TF
SOX6,31.0596442082897,TF
SOX8,24.8110463144258,TF
SOX9,26.8784285522997,TF
SP1,87.8774876473472,TF
SPIB,28.1266778474674,TF
SREBF1,63.2865534164011,TF
SREBF2,71.9881656114012,TF
SRF,28.0606523156166,TF
STAT1,85.4462295537814,TF
TBX21,75.2097547519952,TF
TCF12,13.9158386737108,TF
TCF4,90.8020195784047,TF
TCF7L2,23.8530251197517,TF
TEAD1,9.46533388923854,TF
TEAD3,76.6397856874391,TF
TEF,45.0804164633155,TF
TFAP2A,95.4388770041987,TF
TFAP4,67.3634910024703,TF
TFE3,13.9267886755988,TF
TGIF1,45.3909744042903,TF
THRA,36.0458814073354,TF
THRB,70.094657689333,TF
VAX1,86.1185707850382,TF
VENTX,54.2593687772751,TF
VSX1,35.5240759439766,TF
YY1,0.0837518600746989,TF
ZBED1,55.5031711934134,TF
ZBTB20,22.9368983302265,TF
ZBTB38,38.8286672532558,TF
ZBTB7A,84.6915316302329,TF
ZBTB7B,34.4550223788247,TF
ZEB1,94.9313001474366,TF
ZFP14,3.58322942629457,TF
ZFP3,90.8106230199337,TF
ZFP41,99.3710316251963,TF
ZFP64,70.1034769881517,TF
ZFPM1,9.36924663837999,TF
ZIC1,57.4887624476105,TF
ZIC4,97.5409663282335,TF
ZIK1,31.3578302739188,TF
ZKSCAN1,27.0497436635196,TF
ZNF114,70.6204697256908,TF
ZNF132,85.5580092407763,TF
ZNF134,55.9387498535216,TF
ZNF135,41.1693843081594,TF
ZNF136,7.36418126616627,TF
ZNF157,65.3861127328128,TF
ZNF174,92.387962481007,TF
ZNF184,72.8312944993377,TF
ZNF19,75.8621917571872,TF
ZNF195,74.6690416941419,TF
ZNF2,91.94821275305,TF
ZNF211,10.1046735653654,TF
ZNF213,93.8754609785974,TF
ZNF22,39.1999354120344,TF
ZNF226,32.4180139927194,TF
ZNF227,57.5415253406391,TF
ZNF23,89.8803727701306,TF
ZNF232,84.1636692872271,TF
ZNF236,78.816476999782,TF
ZNF251,29.911839379929,TF
ZNF254,48.5981911420822,TF
ZNF26,86.42192624975,TF
ZNF266,14.6936316043139,TF
ZNF273,10.8054730808362,TF
ZNF276,27.0077328663319,TF
ZNF287,30.1060461439192,TF
ZNF311,80.2062924019992,TF
ZNF320,12.281582923606,TF
ZNF324,0.546283647418022,TF
ZNF329,31.8790143588558,TF
ZNF334,27.7808442013338,TF
ZNF343,98.5267033334821,TF
