node,edge
AEBP2,AEBP2
AEBP2,CAMTA1
AEBP2,CEBPB
AEBP2,CEBPD
AEBP2,CEBPG
AEBP2,DEAF1
AEBP2,E2F6
AEBP2,EGR3
AEBP2,EHF
AEBP2,ESRRA
AEBP2,ETV5
AEBP2,FIZ1
AEBP2,FOS
AEBP2,FOSL1
AEBP2,FOXH1
AEBP2,FOXJ1
AEBP2,FOXK1
AEBP2,FOXP1
AEBP2,GLI2
AEBP2,GLIS2
AEBP2,GLIS3
AEBP2,GMEB2
AEBP2,HEY1
AEBP2,HEY2
AEBP2,HKR1
AEBP2,HOXA2
AEBP2,HOXA3
AEBP2,HOXA4
AEBP2,HOXA5
AEBP2,HOXB2
AEBP2,HOXB3
AEBP2,HOXB4
AEBP2,HOXD3
AEBP2,HSF1
AEBP2,ID1
AEBP2,IRF2
AEBP2,IRF3
AEBP2,IRF7
AEBP2,IRF8
AEBP2,IRX3
AEBP2,JUNB
AEBP2,KLF12
AEBP2,KLF13
AEBP2,KLF15
AEBP2,KLF16
AEBP2,LMX1A
AEBP2,MAF
AEBP2,MAFF
AEBP2,MAFG
AEBP2,MEF2D
AEBP2,MEIS2
AEBP2,MLX
AEBP2,MNT
AEBP2,MSX1
AEBP2,MSX2
AEBP2,MYBL2
AEBP2,MYCN
AEBP2,NFATC2
AEBP2,NFIA
AEBP2,NFIC
AEBP2,NFIX
AEBP2,NR1D1
AEBP2,NR2F1
AEBP2,NR2F2
AEBP2,NR3C2
AEBP2,PAX3
AEBP2,PAX6
AEBP2,PBX1
AEBP2,PEG3
AEBP2,PKNOX2
AEBP2,POU2F1
AEBP2,POU3F2
AEBP2,POU3F3
AEBP2,PPARA
AEBP2,PRDM6
AEBP2,RARA
AEBP2,RFX1
AEBP2,RFX2
AEBP2,RFX4
AEBP2,RFX5
AEBP2,RORA
AEBP2,RREB1
AEBP2,RXRA
AEBP2,RXRB
AEBP2,SALL2
AEBP2,SMAD1
AEBP2,SMAD2
AEBP2,SOX1
AEBP2,SOX10
AEBP2,SOX13
AEBP2,SOX2
AEBP2,SOX5
AEBP2,SOX6
AEBP2,SOX8
AEBP2,SOX9
AEBP2,SP1
AEBP2,SREBF1
AEBP2,STAT6
AEBP2,TCF7
AEBP2,TEAD1
AEBP2,TEAD3
AEBP2,TEF
AEBP2,THRA
AEBP2,TP53
AEBP2,YY1
AEBP2,ZBTB4
AEBP2,ZBTB46
AEBP2,ZBTB7B
AEBP2,ZBTB7C
AEBP2,ZFP41
AEBP2,ZFPM1
AEBP2,ZIC2
AEBP2,ZIC5
AEBP2,ZNF135
AEBP2,ZNF19
AEBP2,ZNF195
AEBP2,ZNF213
AEBP2,ZNF22
AEBP2,ZNF23
AEBP2,ZNF311
AEBP2,ZNF334
AEBP2,ZNF343
AEBP2,ZNF383
AEBP2,ZNF408
AEBP2,ZNF497
AEBP2,ZNF521
AEBP2,ZNF524
AEBP2,ZNF536
AEBP2,ZNF558
AEBP2,ZNF568
AEBP2,ZNF574
AEBP2,ZNF580
AEBP2,ZNF581
AEBP2,ZNF672
AEBP2,ZNF689
AEBP2,ZNF692
AEBP2,ZNF696
AEBP2,ZNF697
AEBP2,ZNF710
AEBP2,ZNF91
AEBP2,ZSCAN1
AEBP2,ZSCAN18
ALX3,AEBP2
ALX3,ARNTL
ALX3,ATF7
ALX3,BACH2
ALX3,BCL6
ALX3,BCLAF1
ALX3,BHLHE40
ALX3,BHLHE41
ALX3,CAMTA1
ALX3,CEBPB
ALX3,CEBPD
ALX3,CREB1
ALX3,CREB3
ALX3,CREB5
ALX3,CUX2
ALX3,DBP
ALX3,EBF1
