"gene"	"entrez"	"ensembl"
"AAMP"	14	"ENSG00000127837"
"AARS1"	16	"ENSG00000090861"
"AASDHPPT"	60496	"ENSG00000149313"
"ABCB7"	22	"ENSG00000131269"
"ABCE1"	6059	"ENSG00000164163"
"ABCF1"	23	"ENSG00000204574"
"ABT1"	29777	"ENSG00000146109"
"ACO2"	50	"ENSG00000100412"
"ACTL6A"	86	"ENSG00000136518"
"ACTR10"	55860	"ENSG00000131966"
"ACTR3"	10096	"ENSG00000115091"
"ACTR6"	64431	"ENSG00000075089"
"ACTR8"	93973	"ENSG00000113812"
"ADAT2"	134637	"ENSG00000189007"
"ADSL"	158	"ENSG00000239900"
"AFG3L2"	10939	"ENSG00000141385"
"AHCY"	191	"ENSG00000101444"
"AIFM1"	9131	"ENSG00000156709"
"AKIRIN2"	55122	"ENSG00000135334"
"ALDOA"	226	"ENSG00000149925"
"ALG1"	56052	"ENSG00000033011"
"ALG11"	440138	"ENSG00000253710"
"ALG13"	79868	"ENSG00000101901"
"ALG14"	199857	"ENSG00000172339"
"ALG2"	85365	"ENSG00000119523"
"ALG8"	79053	"ENSG00000159063"
"ALYREF"	10189	"ENSG00000183684"
"AMD1"	262	"ENSG00000123505"
"ANAPC10"	10393	"ENSG00000164162"
"ANAPC11"	51529	"ENSG00000141552"
"ANAPC15"	25906	"ENSG00000110200"
"ANAPC4"	29945	"ENSG00000053900"
"ANAPC5"	51433	"ENSG00000089053"
"ANKLE2"	23141	"ENSG00000176915"
"ANLN"	54443	"ENSG00000011426"
"AP2S1"	1175	"ENSG00000042753"
"AQR"	9716	"ENSG00000021776"
"ARCN1"	372	"ENSG00000095139"
"ARGLU1"	55082	"ENSG00000134884"
"ARL2"	402	"ENSG00000213465"
"ARMC7"	79637	"ENSG00000125449"
"ARPC4"	10093	"ENSG00000241553"
"ASCC3"	10973	"ENSG00000112249"
"ATIC"	471	"ENSG00000138363"
"ATL2"	64225	"ENSG00000119787"
"ATP13A1"	57130	"ENSG00000105726"
"ATP1A1"	476	"ENSG00000163399"
"ATP2A2"	488	"ENSG00000174437"
"ATP6AP2"	10159	"ENSG00000182220"
"ATP6V0B"	533	"ENSG00000117410"
"ATP6V0C"	527	"ENSG00000185883"
"ATP6V0D1"	9114	"ENSG00000159720"
"ATP6V1A"	523	"ENSG00000114573"
"ATP6V1D"	51382	"ENSG00000100554"
"ATP6V1E1"	529	"ENSG00000131100"
"ATP6V1G1"	9550	"ENSG00000136888"
"ATR"	545	"ENSG00000175054"
"ATRIP"	84126	"ENSG00000164053"
"ATRX"	546	"ENSG00000085224"
"BARD1"	580	"ENSG00000138376"
"BCAS2"	10286	"ENSG00000116752"
"BCCIP"	56647	"ENSG00000107949"
"BCL2L1"	598	"ENSG00000171552"
"BCS1L"	617	"ENSG00000074582"
"BDP1"	55814	"ENSG00000145734"
"BET1"	10282	"ENSG00000105829"
"BIRC5"	332	"ENSG00000089685"
"BLM"	641	"ENSG00000197299"
"BMS1"	9790	"ENSG00000165733"
"BNIP1"	662	"ENSG00000113734"
"BOD1L1"	259282	"ENSG00000038219"
"BORA"	79866	"ENSG00000136122"
"BPTF"	2186	"ENSG00000171634"
"BRCA1"	672	"ENSG00000012048"
"BRCA2"	675	"ENSG00000139618"
"BRD4"	23476	"ENSG00000141867"
"BRD8"	10902	"ENSG00000112983"
"BRF1"	2972	"ENSG00000185024"
"BRIX1"	55299	"ENSG00000113460"
"BTAF1"	9044	"ENSG00000095564"
"BUB1B"	701	"ENSG00000156970"
"BUB3"	9184	"ENSG00000154473"
"BUD13"	84811	"ENSG00000137656"
"BUD31"	8896	"ENSG00000106245"
"BYSL"	705	"ENSG00000112578"
"C18orf21"	83608	"ENSG00000141428"
"C1orf131"	128061	"ENSG00000143633"
"C9orf78"	51759	"ENSG00000136819"
"CAD"	790	"ENSG00000084774"
"CARS1"	833	"ENSG00000110619"
"CCDC115"	84317	"ENSG00000136710"
"CCDC86"	79080	"ENSG00000110104"
"CCNA2"	890	"ENSG00000145386"
"CCNH"	902	"ENSG00000134480"
"CCNK"	8812	"ENSG00000090061"
"CCP110"	9738	"ENSG00000103540"
"CCT2"	10576	"ENSG00000166226"
"CCT3"	7203	"ENSG00000163468"
"CCT4"	10575	"ENSG00000115484"
"CCT5"	22948	"ENSG00000150753"
"CCT6A"	908	"ENSG00000146731"
"CCT7"	10574	"ENSG00000135624"
"CDC123"	8872	"ENSG00000151465"
"CDC16"	8881	"ENSG00000130177"
"CDC20"	991	"ENSG00000117399"
"CDC23"	8697	"ENSG00000094880"
"CDC37"	11140	"ENSG00000105401"
"CDC40"	51362	"ENSG00000168438"
"CDC45"	8318	"ENSG00000093009"
"CDC5L"	988	"ENSG00000096401"
"CDC6"	990	"ENSG00000094804"
"CDC7"	8317	"ENSG00000097046"
"CDC73"	79577	"ENSG00000134371"
"CDCA5"	113130	"ENSG00000146670"
"CDIN1"	84529	"ENSG00000186073"
"CDIPT"	10423	"ENSG00000103502"
"CDK1"	983	"ENSG00000170312"
"CDK12"	51755	"ENSG00000167258"
"CDK9"	1025	"ENSG00000136807"
"CDT1"	81620	"ENSG00000167513"
"CEBPZ"	10153	"ENSG00000115816"
"CENATAC"	338657	"ENSG00000186166"
"CENPA"	1058	"ENSG00000115163"
"CENPH"	64946	"ENSG00000153044"
"CENPJ"	55835	"ENSG00000151849"
"CENPL"	91687	"ENSG00000120334"
"CENPM"	79019	"ENSG00000100162"
"CENPN"	55839	"ENSG00000166451"
"CENPW"	387103	"ENSG00000203760"
"CEP135"	9662	"ENSG00000174799"
"CEP152"	22995	"ENSG00000103995"
"CEP192"	55125	"ENSG00000101639"
"CEP57"	9702	"ENSG00000166037"
"CEP85"	64793	"ENSG00000130695"
"CEP97"	79598	"ENSG00000182504"
"CFDP1"	10428	"ENSG00000153774"
"CHAF1A"	10036	"ENSG00000167670"
"CHAF1B"	8208	"ENSG00000159259"
"CHEK1"	1111	"ENSG00000149554"
"CHERP"	10523	"ENSG00000085872"
"CHMP2A"	27243	"ENSG00000130724"
"CHMP3"	51652	"ENSG00000115561"
"CHMP4B"	128866	"ENSG00000101421"
"CHMP6"	79643	"ENSG00000176108"
