REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	A549.H3K27AC.ENCFF714TFN.sorted.bam	A549.INPUT.ENCFF669AUD.sorted.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
68_Peak_17995_lociStitched	chr5	58960811	59309427	68	201524	329407.2584	67073.7184	1	AC092343.1,PDE4D	AC008833.1	PDE4D	1	1
31_Peak_11846_lociStitched	chr5	59459122	59621436	31	118134	188138.1574	31326.602	2	NDUFB4P2,PDE4D	PDE4D	NDUFB4P2	2	1
25_Peak_83063_lociStitched	chr5	172827953	172935578	25	91297	156486.75	19178.775	3	ERGIC1	AC110011.1,AC008429.3,RPL26L1,AC008429.2,ATP6V0E1,RF00019,AC022217.4,AC008429.1	ERGIC1	3	1
4_Peak_37549_lociStitched	chr15	98842601	98908710	4	61343	150913.6252	17796.5428	4	IGF1R,AC069029.1	IGF1R	IGF1R	4	1
Peak_411	chr17	40504195	40561897	1	57703	146453.4462	15366.0426	5	AC004585.1,CCR7	AC018629.1,TNS4,AC004585.2	AC004585.1	5	1
10_Peak_51020_lociStitched	chr8	40151495	40217563	10	63621	140163.262	14508.5328	6	TCIM,AC022733.2	AC087518.1,AC022733.1	AC022733.2	6	1
20_Peak_41747_lociStitched	chr11	19938475	20047942	20	90626	134841.4506	16562.3571	7	NAV2,NAV2-AS3,NAV2-AS2	NAV2	NAV2-AS3	7	1
40_Peak_19459_lociStitched	chr8	19536176	19720274	40	110820	150334.4268	32143.5108	8	AC090541.1,CSGALNACT1	CSGALNACT1	CSGALNACT1	8	1
Peak_174	chr17	59819170	59860008	1	40839	127929.1188	10577.042	9	VMP1,MIR21,RNU6-450P,TUBD1	AC040904.1,NDUFB8P2,RPS6KB1,TUBD1	VMP1	9	1
22_Peak_20537_lociStitched	chr5	175797037	175892407	22	73816	122626.746	18234.744	10	CPLX2	AC138965.3	CPLX2	10	1
11_Peak_6401_lociStitched	chr10	46515018	46566042	11	42593	118151.1744	17445.1056	11	AC244230.2,GPRIN2	SYT15,AL356056.1,NPY4R,AL356056.2	GPRIN2	11	1
25_Peak_53869_lociStitched	chr7	108179822	108312426	25	84668	121823.2948	21203.3796	12	NRCAM	LAMB4,NRCAM	NRCAM	12	1
27_Peak_47377_lociStitched	chr8	128090085	128211131	27	79880	129519.22	30152.5586	13	PVT1,MIR1208	MIR1207,PVT1,RN7SKP226	MIR1208	13	1
21_Peak_28974_lociStitched	chr2	36352332	36463897	21	84069	124852.3915	26362.8095	14	CRIM1,AC009414.2	CRIM1,AC007378.1	CRIM1	14	1
9_Peak_15602_lociStitched	chr20	354204	410471	9	47308	110198.9195	13391.546	15	NRSN2,TRIB3,RBCK1	SOX12,NRSN2,RBCK1,RF00019,NRSN2-AS1,TBC1D20	TRIB3	15	1
16_Peak_31613_lociStitched	chr6	12279210	12373928	16	78994	107258.6632	14387.6642	16	EDN1,SUMO2P12	RN7SKP293	SUMO2P12	16	1
24_Peak_88112_lociStitched	chr18	7849183	7964817	24	81759	106047.9414	13286.3466	17	PTPRM	AP000897.1,RF00012	PTPRM	17	1
16_Peak_108807_lociStitched	chr15	59244001	59335907	16	62349	114808.9752	23812.8446	18	MYO1E,AC092756.1	LDHAL6B,FAM81A,MYO1E,RNU4-80P,RNU6-212P,AC092868.2	AC092756.1	18	1
14_Peak_476_lociStitched	chr2	27701377	27777413	14	53970	106070.22	15937.1456	19	MRPL33,LINC01460	SLC4A1AP,SUPT7L	LINC01460	19	1
21_Peak_7138_lociStitched	chr4	140011948	140117468	21	76952	101963.976	14614.52	20	MAML3	AC131182.1	AC131182.1	20	1
41_Peak_62362_lociStitched	chr20	5642018	5789172	41	78121	112646.387	27591.375	21	SHLD1	GPCPD1	SHLD1	21	1
Peak_77	chr9	72974583	73001520	1	26938	89201.8755	5675.6259	22	ALDH1A1	CYP1D1P,ALDH1A1	ALDH1A1	22	1
29_Peak_11047_lociStitched	chr2	233384300	233497047	29	66249	103648.3171	20362.1082	23	DGKD,USP40	SAG,AC019072.1,AC013726.1,RF00019,USP40	DGKD	23	1
